Sample	Reads_number	Unique_best_hit	Mapping_efficiency	No_alignments	Total_Cs	Total_CsM_CpG	Total_CsM_CHG	Total_CsM_CHH	Total_CsM_UNKNOWN	Total_CsU_CpG	CsM_CpG	CsM_CHG	CsM_CHH	CsM_UNKNOWN
sampling_12451_40_trimmed.fastq	11487	6434	56.0%	2853	110540	6738	179	437	1	3024	69.0%	0.6%	0.6%	2.2%
sampling_12451_410_trimmed.fastq	11427	6350	55.6%	2872	109033	6873	176	420	2	3029	69.4%	0.6%	0.6%	4.1%
sampling_12451_411_trimmed.fastq	11499	6514	56.6%	2871	112573	7221	204	407	3	3023	70.5%	0.7%	0.6%	4.9%
sampling_12451_412_trimmed.fastq	11499	6429	55.9%	2950	110505	6967	180	414	4	2941	70.3%	0.6%	0.6%	6.9%
sampling_12451_413_trimmed.fastq	11518	6441	55.9%	2945	110631	6718	214	428	2	3181	67.9%	0.8%	0.6%	3.0%
sampling_12451_414_trimmed.fastq	11520	6336	55.0%	3002	109223	6883	193	478	3	3024	69.5%	0.7%	0.7%	8.6%
sampling_12451_415_trimmed.fastq	11472	6341	55.3%	2981	108567	7041	201	414	4	2993	70.2%	0.7%	0.6%	6.3%
sampling_12451_416_trimmed.fastq	11512	6427	55.8%	2931	111627	6946	182	408	3	3037	69.6%	0.6%	0.6%	6.0%
sampling_12451_417_trimmed.fastq	11513	6446	56.0%	2923	110311	6966	185	487	1	2885	70.7%	0.7%	0.7%	1.5%
sampling_12451_418_trimmed.fastq	11471	6500	56.7%	2820	110805	6845	187	419	3	2996	69.6%	0.7%	0.6%	5.0%
sampling_12451_419_trimmed.fastq	11533	6488	56.3%	2961	112653	6902	169	390	2	3164	68.6%	0.6%	0.5%	3.2%
sampling_1245_141_trimmed.fastq	1133	633	55.9%	293	10879	669	19	38	0	275	70.9%	0.7%	0.5%	0.0%
sampling_12451_41_trimmed.fastq	11483	6390	55.6%	2992	110208	7053	194	467	2	3082	69.6%	0.7%	0.6%	3.6%
sampling_12451_420_trimmed.fastq	11462	6351	55.4%	2964	109338	6730	187	412	0	3076	68.6%	0.7%	0.6%	0.0%
sampling_12451_421_trimmed.fastq	11470	6392	55.7%	2925	110210	7064	178	435	2	2871	71.1%	0.6%	0.6%	3.7%
sampling_12451_422_trimmed.fastq	11465	6416	56.0%	2960	110634	7172	185	413	3	3019	70.4%	0.7%	0.6%	5.9%
sampling_12451_423_trimmed.fastq	11495	6449	56.1%	2966	112124	7228	188	422	1	2937	71.1%	0.7%	0.6%	1.7%
sampling_12451_424_trimmed.fastq	11507	6400	55.6%	2933	109720	6955	178	440	0	2973	70.1%	0.6%	0.6%	0.0%
sampling_12451_425_trimmed.fastq	11466	6417	56.0%	2859	110779	7037	185	434	1	3050	69.8%	0.7%	0.6%	2.0%
