Sample	Reads_number	Unique_best_hit	Mapping_efficiency	No_alignments	Total_Cs	Total_CsM_CpG	Total_CsM_CHG	Total_CsM_CHH	Total_CsM_UNKNOWN	Total_CsU_CpG	CsM_CpG	CsM_CHG	CsM_CHH	CsM_UNKNOWN
sampling_21789_84_trimmed.fastq	20063	11269	56.2%	5075	195103	12285	297	767	1	5377	69.6%	0.6%	0.6%	1.0%
sampling_21789_850_trimmed.fastq	20050	11239	56.1%	5026	193152	12240	312	762	2	5374	69.5%	0.6%	0.6%	1.9%
sampling_21789_851_trimmed.fastq	20085	11207	55.8%	5105	193614	12309	321	751	2	5593	68.8%	0.7%	0.6%	2.5%
sampling_21789_852_trimmed.fastq	20141	11209	55.7%	5150	193136	12234	322	747	5	5528	68.9%	0.7%	0.6%	5.0%
sampling_21789_853_trimmed.fastq	20075	11165	55.6%	5218	192319	12422	317	739	6	5173	70.6%	0.6%	0.6%	7.3%
sampling_21789_854_trimmed.fastq	20114	11147	55.4%	5199	191588	11966	343	734	1	5071	70.2%	0.7%	0.6%	1.0%
sampling_21789_855_trimmed.fastq	20053	11222	56.0%	5154	193177	11990	353	723	6	5190	69.8%	0.7%	0.6%	6.4%
sampling_21789_856_trimmed.fastq	20143	11199	55.6%	5249	193156	12442	305	730	6	5513	69.3%	0.6%	0.6%	6.0%
sampling_21789_857_trimmed.fastq	20065	11140	55.5%	5151	191019	12023	335	752	3	5264	69.5%	0.7%	0.6%	2.3%
sampling_21789_858_trimmed.fastq	20110	11315	56.3%	5176	195128	12219	327	779	3	5683	68.3%	0.7%	0.6%	3.3%
sampling_21789_859_trimmed.fastq	20098	11167	55.6%	5222	191532	12231	339	729	2	5027	70.9%	0.7%	0.6%	2.6%
sampling_21789_85_trimmed.fastq	20112	11158	55.5%	5280	191046	12024	292	750	2	5118	70.1%	0.6%	0.6%	1.7%
sampling_21789_860_trimmed.fastq	20106	11189	55.7%	5119	192523	12152	301	742	1	5219	70.0%	0.6%	0.6%	0.9%
sampling_21789_861_trimmed.fastq	20121	11275	56.0%	5205	195114	12333	342	791	8	5297	70.0%	0.7%	0.6%	7.7%
sampling_21789_862_trimmed.fastq	20104	11199	55.7%	5165	192711	12142	329	813	3	5348	69.4%	0.7%	0.6%	3.2%
sampling_21789_863_trimmed.fastq	20076	11230	55.9%	5143	193036	11999	320	750	6	5498	68.6%	0.7%	0.6%	7.5%
sampling_21789_864_trimmed.fastq	20126	11265	56.0%	5175	193664	12094	321	716	4	5485	68.8%	0.7%	0.6%	3.8%
sampling_21789_865_trimmed.fastq	20155	11254	55.8%	5102	193275	11910	322	722	2	5323	69.1%	0.7%	0.6%	2.1%
sampling_21789_866_trimmed.fastq	20077	11133	55.5%	5160	191173	11889	321	721	4	5205	69.6%	0.7%	0.6%	4.2%
sampling_21789_867_trimmed.fastq	20097	11177	55.6%	5171	193009	12246	309	768	4	5149	70.4%	0.6%	0.6%	4.4%
sampling_21789_868_trimmed.fastq	20130	11252	55.9%	5147	193392	12247	321	746	2	5320	69.7%	0.6%	0.6%	2.3%
sampling_21789_869_trimmed.fastq	20106	11245	55.9%	5066	193929	11930	318	747	2	5206	69.6%	0.6%	0.6%	1.9%
sampling_21789_86_trimmed.fastq	20127	11247	55.9%	5116	193266	12317	337	760	1	5293	69.9%	0.7%	0.6%	1.1%
sampling_21789_870_trimmed.fastq	20036	11049	55.1%	5114	189748	11800	304	744	2	5193	69.4%	0.6%	0.6%	1.8%
sampling_21789_871_trimmed.fastq	20073	11284	56.2%	5166	194252	12326	320	760	3	5470	69.3%	0.6%	0.6%	2.9%
sampling_21789_872_trimmed.fastq	20126	11090	55.1%	5187	191218	12024	333	717	1	5257	69.6%	0.7%	0.6%	1.1%
sampling_21789_873_trimmed.fastq	20069	11220	55.9%	5074	193247	12135	296	728	6	5518	68.7%	0.6%	0.6%	5.9%
sampling_21789_874_trimmed.fastq	20115	11229	55.8%	5196	192957	11965	318	730	3	5432	68.8%	0.6%	0.6%	3.2%
sampling_21789_875_trimmed.fastq	20113	11200	55.7%	5165	191989	11904	305	771	1	5215	69.5%	0.6%	0.6%	1.1%
sampling_21789_876_trimmed.fastq	20103	11278	56.1%	4991	194025	11907	298	739	4	5450	68.6%	0.6%	0.6%	4.1%
sampling_21789_877_trimmed.fastq	20139	11170	55.5%	5214	192571	12034	271	814	3	5368	69.2%	0.6%	0.6%	2.9%
sampling_21789_878_trimmed.fastq	20079	11297	56.3%	5050	195641	12461	327	814	3	5387	69.8%	0.7%	0.6%	3.6%
sampling_21789_879_trimmed.fastq	20086	11210	55.8%	5164	192697	12071	326	757	2	5572	68.4%	0.7%	0.6%	1.9%
sampling_21789_87_trimmed.fastq	20152	11164	55.4%	5243	192907	12306	356	718	3	5139	70.5%	0.7%	0.6%	2.8%
sampling_21789_880_trimmed.fastq	20127	11347	56.4%	5066	194087	12097	331	767	4	5291	69.6%	0.7%	0.6%	4.0%
sampling_21789_881_trimmed.fastq	20139	11294	56.1%	5159	193071	12025	310	723	3	5275	69.5%	0.6%	0.6%	3.1%
sampling_21789_882_trimmed.fastq	20117	11186	55.6%	5139	194095	12290	341	739	5	5304	69.9%	0.7%	0.6%	5.3%
sampling_21789_883_trimmed.fastq	20038	11192	55.9%	5143	191618	12565	356	735	3	5348	70.1%	0.7%	0.6%	3.1%
sampling_21789_884_trimmed.fastq	20139	11140	55.3%	5136	191390	11939	311	736	3	5064	70.2%	0.6%	0.6%	3.1%
sampling_21789_885_trimmed.fastq	20113	11231	55.8%	5103	192419	12162	320	750	9	5100	70.5%	0.7%	0.6%	7.3%
sampling_21789_886_trimmed.fastq	20019	11101	55.5%	5144	191456	11913	303	717	3	5158	69.8%	0.6%	0.6%	3.2%
sampling_21789_887_trimmed.fastq	20109	11140	55.4%	5163	193051	12381	331	732	3	5320	69.9%	0.7%	0.6%	3.3%
sampling_21789_888_trimmed.fastq	20157	11355	56.3%	5052	194316	12050	362	724	4	5439	68.9%	0.7%	0.6%	4.7%
sampling_21789_889_trimmed.fastq	20094	11352	56.5%	5113	195628	12203	294	767	4	5322	69.6%	0.6%	0.6%	3.8%
sampling_21789_88_trimmed.fastq	20025	11325	56.6%	5035	195318	12372	349	744	5	5391	69.7%	0.7%	0.6%	4.7%
sampling_21789_890_trimmed.fastq	20081	11080	55.2%	5211	190935	11688	330	697	2	5301	68.8%	0.7%	0.6%	2.1%
sampling_21789_891_trimmed.fastq	20114	11320	56.3%	5027	194148	12058	311	729	2	5485	68.7%	0.6%	0.6%	1.7%
sampling_21789_892_trimmed.fastq	20039	11159	55.7%	5065	192506	11846	321	734	3	5433	68.6%	0.7%	0.6%	2.7%
sampling_21789_893_trimmed.fastq	20078	11167	55.6%	5209	192538	12208	286	763	2	5131	70.4%	0.6%	0.6%	2.2%
sampling_21789_894_trimmed.fastq	20159	11178	55.4%	5255	192402	11952	289	737	5	5221	69.6%	0.6%	0.6%	4.6%
sampling_21789_895_trimmed.fastq	20134	11299	56.1%	5069	194595	12329	332	756	1	5374	69.6%	0.7%	0.6%	0.8%
sampling_21789_896_trimmed.fastq	20133	11262	55.9%	5056	193212	11921	319	731	3	5358	69.0%	0.6%	0.6%	3.0%
sampling_21789_897_trimmed.fastq	20034	11243	56.1%	5138	194110	12381	307	734	2	5206	70.4%	0.6%	0.6%	2.5%
sampling_21789_898_trimmed.fastq	20057	11117	55.4%	5202	189649	12039	322	738	2	5387	69.1%	0.7%	0.6%	2.3%
sampling_21789_899_trimmed.fastq	20042	11036	55.1%	5254	189488	11971	298	731	5	5405	68.9%	0.6%	0.6%	5.6%
sampling_21789_89_trimmed.fastq	20181	11331	56.1%	5077	194002	12345	352	725	3	5525	69.1%	0.7%	0.6%	3.0%
sampling_21789_8_trimmed.fastq	20111	11275	56.1%	5158	193356	12042	327	740	3	5300	69.4%	0.7%	0.6%	3.3%
sampling_21789_900_trimmed.fastq	20115	11138	55.4%	5183	191970	12027	286	713	5	5296	69.4%	0.6%	0.6%	4.8%
sampling_21789_901_trimmed.fastq	20051	11219	56.0%	5092	192456	11958	356	711	1	5350	69.1%	0.7%	0.6%	1.2%
sampling_21789_902_trimmed.fastq	20132	11200	55.6%	5189	193454	12131	313	731	4	5291	69.6%	0.6%	0.6%	5.3%
sampling_21789_903_trimmed.fastq	20025	11105	55.5%	5091	190288	11916	320	769	3	5166	69.8%	0.7%	0.6%	3.2%
sampling_21789_904_trimmed.fastq	20156	11288	56.0%	5078	194492	12317	335	758	4	5449	69.3%	0.7%	0.6%	4.0%
sampling_21789_905_trimmed.fastq	20153	11178	55.5%	5139	191870	11993	297	722	4	5327	69.2%	0.6%	0.6%	4.1%
sampling_21789_906_trimmed.fastq	20048	11134	55.5%	5237	192459	12439	318	753	2	5155	70.7%	0.6%	0.6%	2.5%
sampling_21789_907_trimmed.fastq	20159	11122	55.2%	5214	191196	11878	331	773	3	5126	69.9%	0.7%	0.6%	3.8%
sampling_21789_908_trimmed.fastq	20095	11223	55.8%	5152	193039	12098	321	737	9	5352	69.3%	0.7%	0.6%	8.7%
sampling_21789_909_trimmed.fastq	20160	11239	55.7%	5207	193777	12213	333	778	3	5339	69.6%	0.7%	0.6%	2.9%
sampling_21789_90_trimmed.fastq	20031	11034	55.1%	5239	190305	11875	336	819	5	5275	69.2%	0.7%	0.7%	4.8%
sampling_21789_910_trimmed.fastq	20068	11329	56.5%	5123	195496	12355	326	716	7	5460	69.4%	0.6%	0.6%	6.6%
sampling_21789_911_trimmed.fastq	20096	11290	56.2%	5130	193959	12501	310	792	2	5446	69.7%	0.6%	0.6%	2.5%
sampling_21789_912_trimmed.fastq	20098	11238	55.9%	5172	193485	12372	293	711	3	5262	70.2%	0.6%	0.6%	2.8%
sampling_21789_913_trimmed.fastq	20110	11196	55.7%	5131	192691	12469	326	754	2	5297	70.2%	0.7%	0.6%	2.2%
sampling_21789_914_trimmed.fastq	20151	11247	55.8%	5137	194024	12226	315	729	2	5589	68.6%	0.6%	0.6%	2.3%
sampling_21789_915_trimmed.fastq	20096	11304	56.2%	5038	193687	12084	305	740	3	5464	68.9%	0.6%	0.6%	3.2%
sampling_21789_916_trimmed.fastq	20092	11190	55.7%	5163	193228	12144	323	749	4	5503	68.8%	0.7%	0.6%	3.8%
sampling_21789_917_trimmed.fastq	20063	11164	55.6%	5174	192656	12390	363	710	3	5128	70.7%	0.7%	0.6%	3.3%
sampling_21789_918_trimmed.fastq	20097	11292	56.2%	5075	194863	12145	354	767	1	5419	69.1%	0.7%	0.6%	1.3%
sampling_21789_919_trimmed.fastq	20127	11391	56.6%	5030	195539	12223	324	724	5	5592	68.6%	0.7%	0.6%	4.6%
sampling_21789_91_trimmed.fastq	20063	11204	55.8%	5098	192586	12182	334	729	2	5161	70.2%	0.7%	0.6%	2.0%
sampling_21789_920_trimmed.fastq	20039	11214	56.0%	5140	192553	11934	356	722	2	5497	68.5%	0.7%	0.6%	1.8%
sampling_21789_921_trimmed.fastq	20124	11304	56.2%	5126	194329	12332	336	728	2	5620	68.7%	0.7%	0.6%	1.8%
sampling_21789_922_trimmed.fastq	20091	11226	55.9%	5090	192287	12199	331	833	4	5231	70.0%	0.7%	0.7%	4.1%
sampling_21789_923_trimmed.fastq	20098	11220	55.8%	5110	191936	11842	329	736	6	5571	68.0%	0.7%	0.6%	5.5%
sampling_21789_924_trimmed.fastq	20119	11230	55.8%	5229	192080	12044	295	702	2	5303	69.4%	0.6%	0.6%	2.1%
sampling_21789_925_trimmed.fastq	20064	11137	55.5%	5169	191163	11907	324	808	0	5292	69.2%	0.7%	0.6%	0.0%
sampling_21789_926_trimmed.fastq	20121	11298	56.2%	5118	194180	11961	334	748	2	5415	68.8%	0.7%	0.6%	2.4%
sampling_21789_927_trimmed.fastq	20132	11247	55.9%	5081	193992	12244	324	719	5	5245	70.0%	0.6%	0.6%	5.3%
sampling_21789_928_trimmed.fastq	20097	11213	55.8%	5023	192586	11981	345	712	4	5267	69.5%	0.7%	0.6%	4.0%
sampling_21789_929_trimmed.fastq	20118	11118	55.3%	5197	190320	11932	351	727	5	5291	69.3%	0.7%	0.6%	5.3%
sampling_21789_92_trimmed.fastq	20134	11208	55.7%	5193	192431	11812	311	776	1	5204	69.4%	0.6%	0.6%	1.2%
sampling_21789_930_trimmed.fastq	20034	11179	55.8%	5106	192488	12140	325	746	5	5288	69.7%	0.7%	0.6%	5.2%
sampling_21789_931_trimmed.fastq	20072	11152	55.6%	5119	190753	12141	309	737	3	5207	70.0%	0.6%	0.6%	3.3%
sampling_21789_932_trimmed.fastq	20106	11237	55.9%	5122	192458	12319	309	718	4	5376	69.6%	0.6%	0.6%	4.1%
sampling_21789_933_trimmed.fastq	20120	11181	55.6%	5181	191434	11957	284	712	6	5178	69.8%	0.6%	0.6%	6.5%
sampling_21789_934_trimmed.fastq	20081	11276	56.2%	5006	193544	12290	345	727	2	5135	70.5%	0.7%	0.6%	1.7%
sampling_21789_935_trimmed.fastq	20092	11104	55.3%	5270	191043	12044	292	716	1	5181	69.9%	0.6%	0.6%	1.1%
sampling_21789_936_trimmed.fastq	20116	11169	55.5%	5171	190771	11584	318	768	4	5353	68.4%	0.7%	0.6%	4.8%
sampling_21789_937_trimmed.fastq	20108	11239	55.9%	5089	193762	12172	298	715	3	5345	69.5%	0.6%	0.6%	3.8%
sampling_21789_938_trimmed.fastq	20076	11229	55.9%	5007	193384	12303	333	725	5	5592	68.8%	0.7%	0.6%	5.1%
sampling_21789_939_trimmed.fastq	20168	11126	55.2%	5173	191150	11977	325	731	5	5183	69.8%	0.7%	0.6%	4.7%
sampling_21789_93_trimmed.fastq	20058	11126	55.5%	5123	190128	11862	310	765	3	5105	69.9%	0.6%	0.6%	3.0%
sampling_21789_940_trimmed.fastq	20109	11260	56.0%	5120	192613	12047	312	741	2	5199	69.9%	0.6%	0.6%	2.1%
sampling_21789_941_trimmed.fastq	20053	11201	55.9%	5116	193921	12288	310	745	2	5202	70.3%	0.6%	0.6%	2.2%
sampling_21789_942_trimmed.fastq	19966	11197	56.1%	5054	192807	12109	329	731	6	5481	68.8%	0.7%	0.6%	5.9%
sampling_21789_943_trimmed.fastq	20049	11157	55.6%	5155	192082	11979	345	724	8	5262	69.5%	0.7%	0.6%	7.5%
sampling_21789_944_trimmed.fastq	20145	11281	56.0%	5129	194210	12194	332	748	6	5380	69.4%	0.7%	0.6%	7.8%
sampling_21789_945_trimmed.fastq	20098	11126	55.4%	5213	190936	12141	308	793	3	5291	69.6%	0.6%	0.6%	3.1%
sampling_21789_946_trimmed.fastq	20084	11220	55.9%	5054	193946	12142	310	736	8	5540	68.7%	0.6%	0.6%	7.2%
sampling_21789_947_trimmed.fastq	20103	11130	55.4%	5206	191917	11938	301	717	2	5356	69.0%	0.6%	0.6%	2.0%
sampling_21789_948_trimmed.fastq	20122	11335	56.3%	5159	195358	12344	336	776	5	5518	69.1%	0.7%	0.6%	4.0%
sampling_21789_949_trimmed.fastq	20070	11303	56.3%	5015	194457	12389	336	788	7	5505	69.2%	0.7%	0.6%	6.5%
sampling_21789_94_trimmed.fastq	20014	11189	55.9%	4998	193358	12229	312	735	6	5323	69.7%	0.6%	0.6%	6.2%
sampling_21789_950_trimmed.fastq	20115	11325	56.3%	5007	194958	12221	319	717	4	5171	70.3%	0.6%	0.6%	3.4%
sampling_21789_951_trimmed.fastq	20083	11195	55.7%	5146	193187	12186	360	714	3	5451	69.1%	0.7%	0.6%	2.9%
sampling_21789_952_trimmed.fastq	20126	11240	55.8%	5084	193068	12303	316	717	2	5162	70.4%	0.6%	0.6%	2.6%
sampling_21789_953_trimmed.fastq	20058	11186	55.8%	5040	193363	11959	292	737	4	5348	69.1%	0.6%	0.6%	3.7%
sampling_21789_954_trimmed.fastq	20063	11268	56.2%	5093	192908	12061	324	746	1	5271	69.6%	0.7%	0.6%	1.0%
sampling_21789_955_trimmed.fastq	20085	11193	55.7%	5113	192507	12208	297	744	3	5130	70.4%	0.6%	0.6%	2.9%
sampling_21789_956_trimmed.fastq	20093	11219	55.8%	5080	192745	12212	341	718	6	5329	69.6%	0.7%	0.6%	6.2%
sampling_21789_957_trimmed.fastq	20074	11205	55.8%	5130	192962	12188	287	720	4	5572	68.6%	0.6%	0.6%	3.7%
sampling_21789_958_trimmed.fastq	20104	11290	56.2%	5145	194696	12433	301	759	1	5319	70.0%	0.6%	0.6%	1.1%
sampling_21789_959_trimmed.fastq	20132	11268	56.0%	5074	194017	12042	321	696	5	5615	68.2%	0.6%	0.5%	5.2%
sampling_21789_95_trimmed.fastq	20192	11351	56.2%	5115	195336	12468	317	757	2	5328	70.1%	0.6%	0.6%	2.0%
sampling_21789_960_trimmed.fastq	20082	11049	55.0%	5246	190437	12040	297	724	5	5272	69.5%	0.6%	0.6%	5.0%
sampling_21789_961_trimmed.fastq	19983	11315	56.6%	4951	194630	12216	343	785	4	5362	69.5%	0.7%	0.6%	3.7%
sampling_21789_962_trimmed.fastq	20150	11246	55.8%	5183	193841	12252	328	734	0	5287	69.9%	0.7%	0.6%	0.0%
sampling_21789_963_trimmed.fastq	20193	11293	55.9%	5111	194239	12117	317	771	1	5463	68.9%	0.6%	0.6%	0.9%
sampling_21789_964_trimmed.fastq	20145	11281	56.0%	5129	194094	12076	332	734	3	5331	69.4%	0.7%	0.6%	3.0%
sampling_21789_965_trimmed.fastq	20210	11246	55.6%	5141	192881	11983	282	735	0	5268	69.5%	0.6%	0.6%	0.0%
sampling_21789_966_trimmed.fastq	20098	11179	55.6%	5193	192983	11962	315	767	2	5337	69.1%	0.6%	0.6%	2.2%
sampling_21789_967_trimmed.fastq	20155	11286	56.0%	5083	194785	12495	299	789	2	5434	69.7%	0.6%	0.6%	2.2%
sampling_21789_968_trimmed.fastq	20116	11236	55.9%	5269	191953	12117	319	780	2	5263	69.7%	0.6%	0.6%	2.2%
sampling_21789_969_trimmed.fastq	20147	11362	56.4%	5134	194803	12440	313	693	1	5268	70.3%	0.6%	0.5%	1.1%
sampling_21789_96_trimmed.fastq	20123	11313	56.2%	5106	193456	12460	348	708	5	5155	70.7%	0.7%	0.6%	4.1%
sampling_21789_970_trimmed.fastq	20118	11244	55.9%	5109	193333	12248	342	823	6	5239	70.0%	0.7%	0.6%	5.3%
sampling_21789_971_trimmed.fastq	20109	11187	55.6%	5091	192384	12182	290	718	7	5263	69.8%	0.6%	0.6%	7.0%
sampling_21789_972_trimmed.fastq	20020	11266	56.3%	5032	193811	12232	325	795	3	5303	69.8%	0.7%	0.6%	2.8%
sampling_21789_973_trimmed.fastq	20169	11335	56.2%	5155	195478	12311	325	720	6	5106	70.7%	0.7%	0.6%	6.5%
sampling_21789_974_trimmed.fastq	20144	11150	55.4%	5193	190172	12231	252	694	2	5273	69.9%	0.5%	0.6%	1.9%
sampling_21789_975_trimmed.fastq	20152	11173	55.4%	5201	191318	11922	300	777	6	5292	69.3%	0.6%	0.6%	7.6%
sampling_21789_976_trimmed.fastq	20061	11211	55.9%	5065	192234	12099	297	713	5	5413	69.1%	0.6%	0.6%	5.2%
sampling_21789_977_trimmed.fastq	20121	11286	56.1%	5123	193381	12164	328	739	3	5485	68.9%	0.7%	0.6%	2.9%
sampling_21789_978_trimmed.fastq	20088	11267	56.1%	5148	193875	12306	329	764	1	5415	69.4%	0.7%	0.6%	1.2%
sampling_21789_979_trimmed.fastq	20086	11401	56.8%	4964	195396	12168	309	713	2	5411	69.2%	0.6%	0.6%	2.2%
sampling_21789_97_trimmed.fastq	20174	11234	55.7%	5135	194435	12191	323	727	4	5534	68.8%	0.7%	0.6%	3.9%
sampling_21789_980_trimmed.fastq	20079	11302	56.3%	5037	196052	12357	283	766	2	5425	69.5%	0.6%	0.6%	2.0%
sampling_21789_981_trimmed.fastq	20143	11170	55.5%	5129	191569	12086	320	739	0	5185	70.0%	0.7%	0.6%	0.0%
sampling_21789_982_trimmed.fastq	20095	11222	55.8%	5114	193662	11950	286	739	2	5588	68.1%	0.6%	0.6%	2.2%
sampling_21789_983_trimmed.fastq	20051	11276	56.2%	5081	193345	11961	338	764	3	5194	69.7%	0.7%	0.6%	3.1%
sampling_21789_984_trimmed.fastq	20117	11226	55.8%	5133	193861	11904	311	790	5	5768	67.4%	0.6%	0.6%	5.5%
sampling_21789_985_trimmed.fastq	20138	11200	55.6%	5179	193642	12406	329	731	2	5457	69.5%	0.7%	0.6%	1.9%
sampling_21789_986_trimmed.fastq	20135	11164	55.4%	5147	191276	12085	311	699	0	5336	69.4%	0.6%	0.6%	0.0%
sampling_21789_987_trimmed.fastq	20141	11128	55.3%	5209	191086	12072	316	750	3	5481	68.8%	0.6%	0.6%	3.9%
sampling_21789_988_trimmed.fastq	20075	11205	55.8%	5214	193023	12150	314	763	0	5201	70.0%	0.6%	0.6%	0.0%
sampling_21789_989_trimmed.fastq	20150	11375	56.5%	5107	195604	12560	302	742	6	5508	69.5%	0.6%	0.6%	5.8%
sampling_21789_98_trimmed.fastq	20069	11086	55.2%	5258	190327	12222	302	735	4	5245	70.0%	0.6%	0.6%	3.4%
sampling_21789_990_trimmed.fastq	20088	11142	55.5%	5132	191749	12168	301	744	3	5314	69.6%	0.6%	0.6%	2.8%
sampling_21789_991_trimmed.fastq	20016	11199	56.0%	5097	193250	12072	328	726	7	5281	69.6%	0.7%	0.6%	7.1%
sampling_21789_992_trimmed.fastq	20088	11184	55.7%	5215	193606	12335	328	723	5	5106	70.7%	0.7%	0.6%	4.3%
sampling_21789_993_trimmed.fastq	20170	11249	55.8%	5152	192016	12180	323	762	5	5378	69.4%	0.7%	0.6%	4.2%
sampling_21789_994_trimmed.fastq	20101	11171	55.6%	5208	192831	11774	314	684	6	5330	68.8%	0.6%	0.5%	5.7%
sampling_21789_995_trimmed.fastq	20085	11197	55.7%	5125	192470	12490	323	810	5	5486	69.5%	0.7%	0.6%	4.2%
sampling_21789_996_trimmed.fastq	20107	11134	55.4%	5197	191777	12220	347	750	3	5402	69.3%	0.7%	0.6%	3.4%
sampling_21789_997_trimmed.fastq	20097	11157	55.5%	5234	190363	11991	296	682	7	5157	69.9%	0.6%	0.5%	6.9%
sampling_21789_998_trimmed.fastq	20155	11371	56.4%	5142	195599	12319	321	765	6	5543	69.0%	0.6%	0.6%	6.2%
sampling_21789_999_trimmed.fastq	20103	11282	56.1%	5143	194113	12208	339	777	1	5423	69.2%	0.7%	0.6%	1.0%
sampling_21789_99_trimmed.fastq	20165	11342	56.2%	5104	195429	12093	305	770	1	5514	68.7%	0.6%	0.6%	1.0%
sampling_21789_9_trimmed.fastq	20109	11161	55.5%	5296	192183	12257	296	772	3	5150	70.4%	0.6%	0.6%	3.6%
sampling_2490_1000_trimmed.fastq	2293	1268	55.3%	605	21544	1351	43	72	0	642	67.8%	0.8%	0.5%	0.0%
sampling_2490_100_trimmed.fastq	2280	1270	55.7%	577	21461	1374	39	81	1	595	69.8%	0.7%	0.6%	5.3%
sampling_2490_101_trimmed.fastq	2284	1267	55.5%	584	21564	1342	41	76	0	543	71.2%	0.7%	0.5%	0.0%
sampling_2490_102_trimmed.fastq	2291	1276	55.7%	602	21962	1284	36	73	0	679	65.4%	0.7%	0.5%	0.0%
sampling_2490_103_trimmed.fastq	2260	1280	56.6%	560	22096	1394	26	96	1	638	68.6%	0.5%	0.7%	11.1%
sampling_2490_104_trimmed.fastq	2273	1291	56.8%	590	22399	1302	44	81	0	617	67.8%	0.8%	0.6%	0.0%
sampling_2490_105_trimmed.fastq	2283	1273	55.8%	590	21728	1376	44	83	1	605	69.5%	0.8%	0.6%	8.3%
sampling_2490_106_trimmed.fastq	2288	1282	56.0%	595	22152	1331	29	89	0	567	70.1%	0.5%	0.6%	0.0%
sampling_2490_107_trimmed.fastq	2289	1287	56.2%	549	22023	1355	35	80	0	617	68.7%	0.6%	0.6%	0.0%
sampling_2490_108_trimmed.fastq	2292	1235	53.9%	615	21144	1211	38	80	0	565	68.2%	0.7%	0.6%	0.0%
sampling_2490_109_trimmed.fastq	2277	1241	54.5%	592	21561	1356	33	86	0	646	67.7%	0.6%	0.6%	0.0%
sampling_2490_10_trimmed.fastq	2311	1282	55.5%	591	21978	1393	56	73	0	633	68.8%	1.0%	0.5%	0.0%
sampling_24901_1000_trimmed.fastq	22964	12737	55.5%	5910	220360	13643	354	859	4	5870	69.9%	0.6%	0.6%	3.9%
sampling_24901_100_trimmed.fastq	22995	12843	55.9%	5892	221742	13901	379	854	5	5977	69.9%	0.7%	0.6%	4.2%
sampling_24901_101_trimmed.fastq	22964	12759	55.6%	5902	219284	14197	360	807	6	6011	70.3%	0.6%	0.6%	5.6%
sampling_24901_102_trimmed.fastq	22861	12770	55.9%	5876	220237	13864	379	808	3	6148	69.3%	0.7%	0.6%	2.7%
sampling_24901_103_trimmed.fastq	22883	12908	56.4%	5856	222420	14058	305	918	3	6322	69.0%	0.5%	0.6%	2.9%
sampling_24901_104_trimmed.fastq	22940	12827	55.9%	5862	221311	14264	374	838	6	6018	70.3%	0.7%	0.6%	5.8%
sampling_24901_105_trimmed.fastq	22978	12913	56.2%	5719	221576	14013	376	842	4	6125	69.6%	0.7%	0.6%	4.7%
sampling_24901_106_trimmed.fastq	23079	12856	55.7%	5768	220564	14157	351	858	2	5771	71.0%	0.6%	0.6%	1.8%
sampling_24901_107_trimmed.fastq	22976	12894	56.1%	5854	221728	14188	357	859	2	6130	69.8%	0.6%	0.6%	1.7%
sampling_24901_108_trimmed.fastq	22997	12872	56.0%	5939	222002	13937	390	833	4	6031	69.8%	0.7%	0.6%	2.9%
sampling_24901_109_trimmed.fastq	23044	12985	56.3%	5784	223718	14123	399	885	8	6413	68.8%	0.7%	0.6%	7.0%
sampling_2490_110_trimmed.fastq	2284	1290	56.5%	573	22000	1380	39	83	0	593	69.9%	0.7%	0.6%	0.0%
sampling_24901_10_trimmed.fastq	23027	12935	56.2%	5779	223535	14333	408	854	2	5986	70.5%	0.7%	0.6%	2.2%
sampling_24901_110_trimmed.fastq	23004	12834	55.8%	5879	221742	13971	380	862	4	5943	70.2%	0.7%	0.6%	3.5%
sampling_24901_111_trimmed.fastq	22940	12801	55.8%	5820	221053	14166	388	864	4	5619	71.6%	0.7%	0.6%	4.0%
sampling_24901_112_trimmed.fastq	22971	12855	56.0%	5813	221945	14039	386	866	3	6135	69.6%	0.7%	0.6%	2.6%
sampling_24901_113_trimmed.fastq	22962	12827	55.9%	5885	219638	14205	352	776	2	5811	71.0%	0.6%	0.5%	1.8%
sampling_24901_114_trimmed.fastq	22869	12746	55.7%	5890	220272	13782	358	809	3	6092	69.3%	0.6%	0.6%	3.1%
sampling_24901_115_trimmed.fastq	23003	12851	55.9%	5881	221100	13978	343	849	5	6185	69.3%	0.6%	0.6%	4.6%
sampling_24901_116_trimmed.fastq	22912	12666	55.3%	5966	216993	13413	393	918	3	6031	69.0%	0.7%	0.6%	2.6%
sampling_24901_117_trimmed.fastq	22952	12877	56.1%	5780	222525	13999	388	822	5	6302	69.0%	0.7%	0.6%	4.3%
sampling_24901_118_trimmed.fastq	22927	12824	55.9%	5802	221478	13929	340	866	8	6092	69.6%	0.6%	0.6%	6.5%
sampling_24901_119_trimmed.fastq	23054	12998	56.4%	5762	225271	14097	372	839	2	6376	68.9%	0.7%	0.6%	1.8%
sampling_2490_111_trimmed.fastq	2297	1263	55.0%	633	21935	1406	34	86	0	518	73.1%	0.6%	0.6%	0.0%
sampling_24901_11_trimmed.fastq	22960	12821	55.8%	5912	219698	13638	369	856	4	6151	68.9%	0.7%	0.6%	3.4%
sampling_24901_120_trimmed.fastq	22921	12817	55.9%	5835	219104	14049	364	827	6	5971	70.2%	0.7%	0.6%	5.8%
sampling_24901_121_trimmed.fastq	22933	12898	56.2%	5719	220451	13693	355	877	6	6230	68.7%	0.6%	0.6%	4.6%
