Number,Group
125,100
249,200
623,500
872,700
1245,1000
1868,1500
2490,2000
3735,3000
4980,4000
6225,5000
7470,6000
9960,8000
12451,10000
15563,12500
18676,15000
21789,17500
24901,20000
28014,22500
31126,25000
34239,27500
37352,30000
