"","Sample","Length","CpG_met","CpG_unmet","Sum"
"69","07_report/CpG_context_sampling_125_69_trimmed_bismark_bt2.CpG",44,33,11,44
"70","07_report/CpG_context_sampling_125_70_trimmed_bismark_bt2.CpG",47,31,16,47
"71","07_report/CpG_context_sampling_125_71_trimmed_bismark_bt2.CpG",39,31,8,39
"72","07_report/CpG_context_sampling_125_72_trimmed_bismark_bt2.CpG",36,27,9,36
"73","07_report/CpG_context_sampling_125_73_trimmed_bismark_bt2.CpG",52,39,13,52
"74","07_report/CpG_context_sampling_125_74_trimmed_bismark_bt2.CpG",56,39,17,56
"75","07_report/CpG_context_sampling_125_75_trimmed_bismark_bt2.CpG",44,31,13,44
"76","07_report/CpG_context_sampling_125_76_trimmed_bismark_bt2.CpG",40,29,11,40
"77","07_report/CpG_context_sampling_125_77_trimmed_bismark_bt2.CpG",48,30,18,48
"78","07_report/CpG_context_sampling_125_78_trimmed_bismark_bt2.CpG",46,36,10,46
"79","07_report/CpG_context_sampling_125_79_trimmed_bismark_bt2.CpG",40,27,13,40
"80","07_report/CpG_context_sampling_125_80_trimmed_bismark_bt2.CpG",45,30,15,45
"81","07_report/CpG_context_sampling_125_81_trimmed_bismark_bt2.CpG",47,36,11,47
"82","07_report/CpG_context_sampling_125_82_trimmed_bismark_bt2.CpG",47,33,14,47
"83","07_report/CpG_context_sampling_125_83_trimmed_bismark_bt2.CpG",41,26,15,41
"84","07_report/CpG_context_sampling_125_84_trimmed_bismark_bt2.CpG",42,30,12,42
"85","07_report/CpG_context_sampling_125_85_trimmed_bismark_bt2.CpG",38,32,6,38
"86","07_report/CpG_context_sampling_125_86_trimmed_bismark_bt2.CpG",51,36,15,51
"87","07_report/CpG_context_sampling_125_87_trimmed_bismark_bt2.CpG",46,27,19,46
"88","07_report/CpG_context_sampling_125_88_trimmed_bismark_bt2.CpG",44,36,8,44
"89","07_report/CpG_context_sampling_125_89_trimmed_bismark_bt2.CpG",43,28,15,43
"90","07_report/CpG_context_sampling_125_90_trimmed_bismark_bt2.CpG",44,33,11,44
"91","07_report/CpG_context_sampling_125_91_trimmed_bismark_bt2.CpG",42,30,12,42
"92","07_report/CpG_context_sampling_125_92_trimmed_bismark_bt2.CpG",41,26,15,41
"93","07_report/CpG_context_sampling_125_93_trimmed_bismark_bt2.CpG",45,31,14,45
"94","07_report/CpG_context_sampling_125_94_trimmed_bismark_bt2.CpG",43,31,12,43
"95","07_report/CpG_context_sampling_125_95_trimmed_bismark_bt2.CpG",52,37,15,52
"96","07_report/CpG_context_sampling_125_96_trimmed_bismark_bt2.CpG",39,30,9,39
"97","07_report/CpG_context_sampling_125_97_trimmed_bismark_bt2.CpG",50,34,16,50
"98","07_report/CpG_context_sampling_125_98_trimmed_bismark_bt2.CpG",40,32,8,40
"99","07_report/CpG_context_sampling_125_99_trimmed_bismark_bt2.CpG",36,23,13,36
"100","07_report/CpG_context_sampling_125_100_trimmed_bismark_bt2.CpG",42,33,9,42
"101","07_report/CpG_context_sampling_125_101_trimmed_bismark_bt2.CpG",49,35,14,49
"102","07_report/CpG_context_sampling_125_102_trimmed_bismark_bt2.CpG",39,29,10,39
"103","07_report/CpG_context_sampling_125_103_trimmed_bismark_bt2.CpG",39,32,7,39
"104","07_report/CpG_context_sampling_125_104_trimmed_bismark_bt2.CpG",41,27,14,41
